PF13508	PF13508.9
PF13523	PF13523.8
PF13527	PF13527.9
PF14542	PF14542.8
PF08674	PF08674.12
PF15270	PF15270.8
PF03767	PF03767.16
PF12689	PF12689.9
PF05054	PF05054.14
PF04412	PF04412.15
PF00330	PF00330.22
PF06434	PF06434.15
PF11791	PF11791.10
PF00694	PF00694.21
PF01756	PF01756.21
PF06857	PF06857.13
PF05777	PF05777.14
PF06313	PF06313.13
PF01648	PF01648.22
PF04336	PF04336.14
PF08545	PF08545.12
PF08541	PF08541.12
PF10766	PF10766.11
PF00873	PF00873.21
PF19436	PF19436.1
PF01842	PF01842.27
PF09192	PF09192.12
PF05058	PF05058.14
PF16102	PF16102.7
PF00976	PF00976.20
PF00022	PF00022.21
PF14408	PF14408.8
PF17003	PF17003.7
PF11657	PF11657.10
PF11498	PF11498.10
PF01064	PF01064.25
PF16840	PF16840.7
PF10000	PF10000.11
PF13291	PF13291.8
PF13710	PF13710.8
PF13740	PF13740.8
PF13840	PF13840.8
PF19571	PF19571.1
PF18859	PF18859.3
PF01643	PF01643.19
PF00441	PF00441.26
PF08028	PF08028.13
PF12806	PF12806.9
PF02770	PF02770.21
PF02771	PF02771.18
PF14749	PF14749.8
PF12590	PF12590.10
PF12186	PF12186.10
PF12418	PF12418.10
PF00708	PF00708.20
PF01553	PF01553.23
PF19576	PF19576.1
PF16076	PF16076.7
PF02551	PF02551.17
PF00698	PF00698.23
PF02273	PF02273.17
PF01757	PF01757.24
PF18883	PF18883.2
PF16214	PF16214.7
PF09793	PF09793.11
PF10198	PF10198.11
PF16698	PF16698.7
PF08516	PF08516.14
PF17771	PF17771.3
PF19236	PF19236.1
PF05986	PF05986.16
PF10199	PF10199.11
PF01602	PF01602.22
PF00928	PF00928.23
PF02805	PF02805.18
PF06314	PF06314.13
PF17981	PF17981.3
PF17980	PF17980.3
PF13382	PF13382.8
PF03352	PF03352.15
PF04008	PF04008.16
PF02438	PF02438.18
PF03052	PF03052.17
PF02703	PF02703.16
PF01691	PF01691.18
PF01696	PF01696.19
PF04623	PF04623.14
PF06040	PF06040.13
PF05248	PF05248.14
PF03376	PF03376.16
PF04834	PF04834.14
PF03307	PF03307.16
PF02440	PF02440.17
PF02439	PF02439.17
PF05385	PF05385.13
PF04528	PF04528.15
PF06931	PF06931.13
PF04881	PF04881.15
PF01065	PF01065.21
PF03678	PF03678.16
PF02456	PF02456.17
PF00541	PF00541.19
PF01686	PF01686.19
PF03955	PF03955.16
PF03910	PF03910.15
PF01310	PF01310.20
PF05829	PF05829.14
PF00608	PF00608.19
PF02459	PF02459.17
PF03228	PF03228.16
PF16579	PF16579.7
PF01295	PF01295.20
PF00709	PF00709.23
PF12633	PF12633.9
PF04439	PF04439.14
PF16812	PF16812.7
PF09085	PF09085.12
PF04619	PF04619.14
PF16747	PF16747.7
PF03257	PF03257.15
PF18652	PF18652.3
PF08240	PF08240.14
PF16884	PF16884.7
PF13823	PF13823.8
PF00106	PF00106.27
PF13561	PF13561.8
PF00107	PF00107.28
PF13602	PF13602.8
PF02274	PF02274.19
PF11559	PF11559.10
PF15202	PF15202.8
PF06377	PF06377.13
PF00406	PF00406.24
PF05191	PF05191.16
PF19627	PF19627.1
PF05221	PF05221.19
PF00670	PF00670.23
PF08132	PF08132.13
PF02675	PF02675.17
PF07757	PF07757.15
PF01941	PF01941.21
PF03496	PF03496.16
PF18648	PF18648.3
PF04587	PF04587.17
PF03747	PF03747.16
PF10397	PF10397.11
PF20032	PF20032.1
PF08509	PF08509.13
PF16701	PF16701.7
PF06355	PF06355.15
PF17049	PF17049.7
PF01117	PF01117.22
PF05110	PF05110.15
PF18876	PF18876.2
PF14591	PF14591.8
PF14556	PF14556.8
PF18875	PF18875.2
PF05775	PF05775.14
PF15339	PF15339.8
PF03969	PF03969.18
PF07792	PF07792.14
PF08493	PF08493.12
PF01314	PF01314.20
PF02730	PF02730.17
PF02420	PF02420.17
PF18815	PF18815.3
PF03756	PF03756.15
PF08731	PF08731.13
PF11786	PF11786.10
PF11787	PF11787.10
PF11785	PF11785.10
PF12249	PF12249.10
PF12250	PF12250.10
PF04671	PF04671.14
PF17366	PF17366.4
PF17992	PF17992.3
PF05641	PF05641.14
PF07468	PF07468.13
PF18021	PF18021.3
PF17558	PF17558.4
PF17998	PF17998.3
PF19712	PF19712.1
PF18079	PF18079.3
PF09171	PF09171.12
PF05039	PF05039.14
PF10427	PF10427.11
PF18236	PF18236.3
PF18351	PF18351.3
PF18309	PF18309.3
PF06376	PF06376.14
PF18723	PF18723.3
PF18724	PF18724.3
PF18746	PF18746.3
PF04647	PF04647.17
PF19188	PF19188.2
PF05931	PF05931.13
PF04730	PF04730.14
PF18134	PF18134.3
PF11440	PF11440.10
PF06396	PF06396.13
PF09229	PF09229.13
PF17793	PF17793.3
PF14412	PF14412.8
PF18743	PF18743.3
PF17327	PF17327.4
PF00578	PF00578.23
PF13911	PF13911.8
PF08327	PF08327.13
PF09236	PF09236.12
PF01594	PF01594.18
PF15334	PF15334.8
PF01808	PF01808.20
PF18767	PF18767.3
PF16168	PF16168.7
PF14186	PF14186.8
PF08910	PF08910.12
PF18158	PF18158.3
PF14962	PF14962.8
PF14721	PF14721.8
PF04548	PF04548.18
PF13772	PF13772.8
PF06316	PF06316.13
PF10315	PF10315.11
PF11489	PF11489.10
PF01987	PF01987.19
PF17096	PF17096.7
PF17050	PF17050.7
PF16780	PF16780.7
PF03915	PF03915.15
PF10592	PF10592.11
PF00731	PF00731.22
PF00586	PF00586.26
PF02769	PF02769.24
PF15298	PF15298.8
PF14469	PF14469.8
PF15304	PF15304.8
PF10469	PF10469.11
PF10470	PF10470.11
PF04988	PF04988.14
PF05716	PF05716.15
PF12443	PF12443.10
PF00490	PF00490.23
PF01262	PF01262.23
PF05222	PF05222.17
PF06610	PF06610.15
PF11839	PF11839.10
PF00842	PF00842.23
PF01168	PF01168.22
PF09135	PF09135.13
PF01918	PF01918.23
PF04326	PF04326.16
PF08027	PF08027.13
PF16720	PF16720.7
PF17527	PF17527.4
PF11606	PF11606.10
PF00171	PF00171.24
PF01081	PF01081.21
PF00596	PF00596.23
PF01263	PF01263.22
PF00248	PF00248.23
PF11266	PF11266.10
PF01315	PF01315.24
PF02738	PF02738.20
PF03752	PF03752.15
PF12165	PF12165.10
PF15924	PF15924.7
PF08660	PF08660.13
PF05208	PF05208.15
PF03155	PF03155.17
PF11182	PF11182.10
PF13372	PF13372.8
PF05426	PF05426.14
PF08787	PF08787.13
PF16822	PF16822.7
PF13949	PF13949.8
PF06029	PF06029.13
PF14864	PF14864.8
PF14863	PF14863.8
PF00245	PF00245.22
PF03561	PF03561.17
PF05953	PF05953.14
PF06351	PF06351.13
PF05549	PF05549.13
PF04864	PF04864.15
PF15309	PF15309.8
PF18727	PF18727.3
PF11744	PF11744.10
PF04030	PF04030.16
PF06401	PF06401.13
PF06400	PF06400.13
PF00128	PF00128.26
PF02806	PF02806.20
PF02903	PF02903.16
PF09071	PF09071.12
PF07821	PF07821.14
PF04168	PF04168.14
PF14456	PF14456.8
PF06964	PF06964.14
PF09261	PF09261.13
PF08829	PF08829.12
PF17480	PF17480.4
PF02883	PF02883.22
PF02296	PF02296.18
PF01589	PF01589.18
PF00943	PF00943.21
PF01563	PF01563.18
PF03229	PF03229.15
PF18489	PF18489.3
PF02816	PF02816.20
PF01120	PF01120.19
PF02232	PF02232.17
PF09608	PF09608.12
PF17989	PF17989.3
PF15729	PF15729.7
PF15299	PF15299.8
PF10369	PF10369.11
PF16541	PF16541.7
PF20080	PF20080.1
PF11092	PF11092.10
PF02430	PF02430.17
PF07344	PF07344.13
PF17645	PF17645.3
PF12475	PF12475.10
PF05111	PF05111.14
PF02948	PF02948.17
PF15757	PF15757.7
PF12190	PF12190.10
PF04709	PF04709.14
PF01425	PF01425.23
PF01510	PF01510.27
PF01520	PF01520.20
PF05382	PF05382.15
PF12671	PF12671.9
PF01979	PF01979.22
PF04909	PF04909.16
PF07969	PF07969.13
PF12224	PF12224.10
PF09663	PF09663.12
PF11741	PF11741.10
PF10706	PF10706.11
PF10023	PF10023.11
PF00155	PF00155.23
PF00202	PF00202.23
PF01063	PF01063.21
PF00266	PF00266.21
PF01593	PF01593.26
PF02293	PF02293.17
PF10997	PF10997.10
PF01871	PF01871.19
